,CV1,CV2,CV3,CV4,CV5
NSFTV125@63f298ba.0,5,3,6,8,7
NSFTV126@0f6a67da.0,10,4,7,7,1
NSFTV128@76a1efc9.0,9,6,1,6,6
NSFTV129@8fafd383.0,4,9,2,3,7
NSFTV130@a796716d.0,1,10,5,3,10
NSFTV131@d09d62e7.0,6,5,2,2,8
NSFTV132@02cc7c6d.0,3,8,2,9,10
NSFTV133@1a95985b.0,5,1,7,7,10
NSFTV134@4ab486ec.0,3,8,6,8,2
NSFTV137@8653bbdb.0,1,2,10,7,3
NSFTV138@1a946dc6.0,2,7,1,6,10
NSFTV139@bd0d322b.0,9,3,10,1,1
NSFTV140@85551f9c.0,10,8,6,7,1
NSFTV141@a8319fc6.0,6,2,6,6,10
NSFTV142@806c51cc.0,5,2,3,9,5
NSFTV143@3ea144c5.0,6,7,8,1,5
NSFTV144@3269952e.0,9,4,1,5,1
NSFTV145@17c4070a.0,3,1,8,1,9
NSFTV147@48b4f132.0,9,10,7,10,4
NSFTV149@d56e98bc.0,10,9,2,2,7
NSFTV150@128dd425.0,5,1,7,5,1
NSFTV151@dee26171.0,1,3,7,8,2
NSFTV152@e4533c8b.0,9,6,7,6,2
NSFTV153@40f343f4.0,8,3,4,2,9
NSFTV154@dfdfb828.0,5,3,9,1,2
NSFTV155@9127f236.0,3,4,8,1,4
NSFTV156@93387d96.0,5,6,10,7,2
NSFTV157@2db62b89.0,4,6,4,6,2
NSFTV158@6516a500.0,4,8,10,7,7
NSFTV160@f659d521.0,6,5,10,8,2
NSFTV161@4f643bf5.0,6,9,9,9,1
NSFTV162@2b28e441.0,1,9,1,5,10
NSFTV163@192e24ab.0,3,6,6,1,1
NSFTV164@72497775.0,5,7,3,3,6
NSFTV165@9b2223bb.0,5,8,3,1,3
NSFTV166@61152244.0,10,4,7,1,8
NSFTV167@8e941960.0,8,1,4,9,6
NSFTV169@ba028784.0,6,7,2,7,3
NSFTV170@715bc18e.0,2,8,1,8,3
NSFTV171@b238d197.0,7,1,2,4,10
NSFTV172@9ac72c9e.0,4,7,5,8,8
NSFTV173@0f847952.0,3,5,2,3,8
NSFTV174@08de34ee.0,6,5,1,9,9
NSFTV176@8cfa8fb2.0,4,10,7,3,5
NSFTV177@15e6c437.0,9,9,1,9,4
NSFTV178@480f7505.0,7,1,1,8,10
NSFTV179@5505a767.0,4,7,10,4,3
NSFTV180@f948d7b5.0,10,4,2,3,2
NSFTV181@8cd35626.0,10,7,1,3,4
NSFTV182@024bbd20.0,5,1,5,10,4
NSFTV183@c08a5ea2.0,8,4,8,9,5
NSFTV184@7119ebee.0,1,9,5,9,9
NSFTV185@c97be7ae.0,6,4,2,3,6
NSFTV186@4559ff3f.0,10,8,3,9,1
NSFTV187@60e142c3.0,4,2,9,4,3
NSFTV188@bf18cbae.0,5,9,5,1,2
NSFTV189@661eaeaa.0,2,1,6,2,1
NSFTV190@bf7afed8.0,7,6,8,6,6
NSFTV191@97ce6839.0,2,9,6,8,10
NSFTV192@fdd98970.0,8,5,5,2,1
NSFTV193@5632be21.0,1,7,9,5,9
NSFTV195@3c10a4b8.0,1,7,1,1,3
NSFTV198@818143d8.0,4,3,6,4,2
NSFTV199@958ed737.0,5,9,3,10,3
NSFTV200@c8a73fe7.0,5,2,4,2,8
NSFTV201@263f2baf.0,4,9,7,10,4
NSFTV202@ccdc6d39.0,1,8,9,7,9
NSFTV203@f46f03bf.0,1,6,9,7,5
NSFTV204@778cea6e.0,1,4,4,3,3
NSFTV205@348853a5.0,10,2,4,1,5
NSFTV206@37249a74.0,3,8,5,5,8
NSFTV207@d628ec3a.0,7,5,2,4,7
NSFTV208@e876c9ec.0,10,8,7,10,2
NSFTV209@5384be83.0,6,2,9,5,10
NSFTV211@5497b233.0,9,7,3,8,10
NSFTV212@330798b4.0,4,2,5,1,4
NSFTV213@b2320902.0,4,1,9,8,1
NSFTV214@34df4fca.0,7,9,2,8,6
NSFTV215@fed1dbae.0,6,2,7,2,9
NSFTV216@149fb038.0,9,10,1,7,7
NSFTV217@915c0033.0,4,5,8,1,2
NSFTV218@85da3a70.0,8,3,9,9,2
NSFTV219@199f4455.0,3,10,8,5,5
NSFTV220@c5bf98cc.0,6,6,9,2,6
NSFTV221@311aaf30.0,1,1,1,5,3
NSFTV222@7cfe4a0c.0,8,5,7,4,5
NSFTV223@f73fa9e9.0,4,2,4,1,8
NSFTV224@f2e9bed5.0,6,2,6,5,6
NSFTV225@a31b4a06.0,10,6,8,6,4
NSFTV226@536afc14.0,3,3,6,9,5
NSFTV227@a7983b03.0,5,10,2,1,1
NSFTV228@195567bf.0,4,4,7,6,4
NSFTV231@49649a00.0,8,6,3,5,1
NSFTV232@c528bce0.0,9,8,2,7,5
NSFTV233@ca615802.0,2,3,4,1,4
NSFTV234@32ca1759.0,7,7,2,3,8
NSFTV235@13ae4f27.0,9,9,1,4,10
NSFTV236@eb17cda6.0,3,7,8,9,6
NSFTV237@dc2cf39b.0,4,10,5,8,7
NSFTV239@523d5ec4.0,9,8,3,8,3
NSFTV240@6f263bd1.0,2,9,10,10,3
NSFTV241@2a7724c1.0,1,4,3,10,10
NSFTV242@b21f7528.0,2,2,4,10,7
NSFTV243@44aeff79.0,7,10,4,5,6
NSFTV244@5efe8622.0,9,9,5,7,8
NSFTV245@8a41a10a.0,9,5,4,5,1
NSFTV246@e0815776.0,4,2,5,2,2
NSFTV247@de7ac7bf.0,5,3,6,7,7
NSFTV248@9b37187d.0,5,1,3,8,2
NSFTV249@87621330.0,2,4,3,1,10
NSFTV250@88e1f162.0,6,2,8,5,5
NSFTV251@f25ad349.0,8,3,5,7,4
NSFTV252@56f5103e.0,6,3,7,1,7
NSFTV253@1911c363.0,4,10,4,3,2
NSFTV255@3fb62843.0,4,5,9,7,10
NSFTV256@0be20a08.0,4,4,1,1,8
NSFTV257@cb9c18df.0,3,7,8,4,8
NSFTV258@60c362f1.0,10,1,2,7,6
NSFTV259@fe70ec33.0,7,6,2,6,6
NSFTV260@bfa16661.0,2,4,4,6,9
NSFTV261@ceb798a3.0,9,5,4,10,3
NSFTV262@f30e146b.0,10,6,3,10,7
NSFTV263@c7d2513e.0,3,10,9,8,2
NSFTV264@f2f12364.0,3,3,1,4,1
NSFTV265@544f48c0.0,3,2,7,2,9
NSFTV266@f7da2506.0,1,3,2,9,8
NSFTV267@aceb3352.0,1,5,3,9,9
NSFTV268@b49ad0db.0,2,10,9,2,7
NSFTV269@092f15e7.0,3,5,5,10,10
NSFTV270@6815ec6d.0,1,4,3,4,4
NSFTV271@b67fd5f6.0,10,4,1,3,8
NSFTV272@c7301040.0,1,4,5,3,9
NSFTV273@493f2b7e.0,4,8,5,6,7
NSFTV274@7dba928e.0,10,3,7,4,4
NSFTV275@07dac217.0,8,2,1,6,4
NSFTV276@fc26ce23.0,6,7,8,9,1
NSFTV277@1516d75f.0,4,4,9,4,4
NSFTV278@17627a92.0,3,2,10,3,2
NSFTV279@642238d9.0,9,2,5,5,1
NSFTV280@58d5bdc3.0,8,7,5,2,4
NSFTV281@85959164.0,7,8,4,4,6
NSFTV282@5aa7968d.0,8,4,6,2,8
NSFTV283@6b37cb3d.0,5,3,10,5,3
NSFTV284@a32e0586.0,2,4,1,4,4
NSFTV285@9baa653c.0,6,9,9,7,10
NSFTV286@044639de.0,2,1,6,2,9
NSFTV287@0e787735.0,1,10,5,5,1
NSFTV288@bc6b0af5.0,4,7,6,8,7
NSFTV289@7fc911f7.0,7,7,2,7,3
NSFTV290@d864377c.0,8,1,10,4,6
NSFTV291@b29d3bf4.0,9,8,9,5,3
NSFTV292@6d9c7d8b.0,6,3,5,1,2
NSFTV293@4c188d7c.0,2,5,3,5,5
NSFTV294@9a60fd42.0,5,2,6,9,3
NSFTV295@e8c621e8.0,6,5,5,3,10
NSFTV296@2b81cf74.0,8,4,10,10,9
NSFTV297@5ae0bd70.0,2,5,5,5,1
NSFTV299@07f246bb.0,2,1,4,8,8
NSFTV300@16d7e397.0,5,4,4,6,9
NSFTV301@86556239.0,8,10,2,9,5
NSFTV302@234e0df9.0,3,10,6,5,4
NSFTV303@73c4fdfb.0,6,5,10,10,7
NSFTV304@773e969e.0,5,1,8,10,9
NSFTV305@8288d278.0,6,5,1,4,8
NSFTV306@2c583eed.0,6,4,2,8,7
NSFTV307@c0d6eca3.0,3,10,7,5,8
NSFTV308@593def74.0,9,9,6,3,10
NSFTV309@a0a3d697.0,8,10,3,4,6
NSFTV310@fbae20bd.0,4,1,8,8,8
NSFTV311@137628a5.0,9,2,8,6,5
NSFTV313@872ec0b4.0,1,8,4,9,5
NSFTV314@ea28671d.0,4,9,8,1,1
NSFTV315@74c9fbbc.0,1,6,5,10,4
NSFTV316@b828b757.0,5,6,3,6,9
NSFTV317@b956dfb5.0,7,6,10,9,2
NSFTV318@3eb8fab5.0,5,5,4,2,7
NSFTV319@c7aeb39f.0,9,10,1,6,5
NSFTV320@cf44b628.0,9,8,10,4,8
NSFTV321@1f6f13c3.0,3,7,2,2,4
NSFTV322@72cef953.0,1,3,3,3,8
NSFTV323@1510e4aa.0,9,8,2,9,3
NSFTV324@0defa551.0,8,10,9,3,9
NSFTV325@d0392fe8.0,5,8,6,8,10
NSFTV326@aeed4684.0,4,1,10,7,1
NSFTV327@fb2b3d82.0,4,6,10,7,5
NSFTV328@1e4f3933.0,3,6,3,8,1
NSFTV329@3e58f34c.0,9,9,1,2,9
NSFTV330@084e8b29.0,5,5,6,1,3
NSFTV331@d438bfed.0,10,9,10,5,7
NSFTV332@7e956f22.0,8,2,5,6,1
NSFTV333@22e60af9.0,7,5,10,2,9
NSFTV334@09869491.0,7,4,3,2,7
NSFTV335@1e26852c.0,7,10,9,8,9
NSFTV336@fa180a1e.0,3,1,7,6,4
NSFTV337@a7bec464.0,10,1,6,3,6
NSFTV338@fed0b9a3.0,8,3,7,6,3
NSFTV339@b3a301ea.0,1,4,10,9,6
NSFTV340@4b0a7350.0,3,6,4,5,6
NSFTV341@9f786a86.0,8,9,5,10,7
NSFTV342@ac7a352c.0,10,1,4,3,4
NSFTV343@b663b3f8.0,10,4,9,6,3
NSFTV344@a0f35768.0,9,7,6,8,8
NSFTV345@4e35b58a.0,1,2,4,1,5
NSFTV346@80fc89ae.0,9,9,7,9,8
NSFTV347@853e318c.0,8,4,5,4,6
NSFTV348@a446becd.0,5,6,2,3,2
NSFTV349@a5a6e2dd.0,8,8,10,3,7
NSFTV350@8adbe877.0,2,2,8,9,5
NSFTV353@af77442b.0,3,8,6,3,5
NSFTV355@122a975b.0,3,6,7,5,9
NSFTV356@f22d2dc6.0,1,4,9,8,9
NSFTV357@cc0ef8cf.0,2,8,3,9,2
NSFTV358@0764178c.0,7,1,7,7,10
NSFTV359@c86f37d0.0,6,2,3,10,7
NSFTV360@6f068769.0,9,6,3,10,1
NSFTV363@e32c9d62.0,10,2,6,9,1
NSFTV364@14e43b02.0,10,7,5,6,9
NSFTV365@f2e723fc.0,10,9,5,4,9
NSFTV366@73b20824.0,8,2,8,10,10
NSFTV367@e59cbfbe.0,2,10,1,2,3
NSFTV368@db737b9b.0,7,3,10,6,4
NSFTV369@dd2bfbfb.0,4,3,6,4,7
NSFTV370@bd7aaa87.0,9,8,2,8,1
NSFTV371@84ad8457.0,8,1,4,1,1
NSFTV372@e8f708a5.0,1,1,3,9,9
NSFTV373@c20dfc59.0,2,6,1,5,5
NSFTV376@de696d95.0,1,4,7,3,5
NSFTV377@2779bba9.0,5,6,7,6,6
NSFTV378@eca85a73.0,3,9,9,4,4
NSFTV379@626cd18d.0,6,2,7,10,5
NSFTV380@238f25f1.0,10,5,6,6,7
NSFTV381@77f6728e.0,1,10,7,5,9
NSFTV384@9764b3c8.0,9,10,5,9,6
NSFTV385@3b25c24f.0,7,10,4,6,4
NSFTV386@4f4f777a.0,9,3,2,4,3
NSFTV387@a08839ce.0,5,1,3,5,2
NSFTV388@3afe3c0b.0,2,4,8,1,3
NSFTV389@7126c359.0,1,1,8,9,2
NSFTV390@5c592759.0,6,4,1,3,2
NSFTV391@180a155f.0,7,7,7,4,4
NSFTV392@c4a397e5.0,10,8,1,2,9
NSFTV394@1f856ac1.0,5,2,4,2,2
NSFTV395@ffde60f9.0,7,2,10,10,7
NSFTV396@1eb5d579.0,7,9,3,4,10
NSFTV397@45d3c920.0,6,1,10,10,6
NSFTV398@0c8eb926.0,2,10,7,10,3
NSFTV399@12a175c1.0,10,3,3,3,4
NSFTV400@61876b53.0,8,9,1,2,5
NSFTV616@298c9652.0,9,8,6,2,2
NSFTV618@a4acb3d5.0,3,3,1,4,6
NSFTV619@f7e71b48.0,1,9,10,7,10
NSFTV620@9e09efb3.0,4,1,8,5,10
NSFTV621@b4d6e1d7.0,10,6,8,2,10
NSFTV622@fb21dae1.0,10,5,6,7,1
NSFTV624@961237a1.0,8,10,5,2,1
NSFTV625@38ab4ed4.0,4,7,2,1,4
NSFTV626@630c7f90.0,7,7,8,10,1
NSFTV627@9b34fda6.0,10,8,4,2,7
NSFTV628@3995b6ff.0,7,10,3,9,8
NSFTV629@ce3f9303.0,4,8,10,3,5
NSFTV630@76db905a.0,7,9,5,5,9
NSFTV632@77522873.0,8,8,2,1,10
NSFTV633@b23710c4.0,3,6,3,9,8
NSFTV634@924bd3ae.0,3,10,6,4,1
