,CV1,CV2,CV3,CV4,CV5
UZROS2759,1,9,4,2,4
KROS358,2,5,8,6,2
NF1,10,1,1,3,8
NF9,10,10,8,7,9
SPALCIK,7,10,3,7,9
INTENSIVNYJ,9,3,10,3,9
ZEMCYZNYJ,6,4,4,6,3
WIR3419,2,5,7,8,1
Shala,10,7,2,5,6
Styk,2,6,6,10,10
Bankoram,5,10,2,3,6
Sanganyan,4,4,1,1,2
TOg5548,2,1,1,7,6
Presidio,7,6,2,10,3
Quinimpol,10,8,9,4,10
CreoleBred,5,8,6,2,2
KerangSerang,5,9,4,3,9
KarangSerang,5,4,3,6,9
CriolloChivacoa2,4,10,8,4,7
Juppa,2,3,9,10,10
Peta,3,10,7,1,1
PATNAI23,4,3,5,4,7
Hassawi,8,2,6,4,5
Samanis,7,3,10,3,5
AshKataAus,4,9,10,3,10
ARC10638,8,10,9,4,7
ARC11611,3,3,4,7,8
Basmati,1,6,2,7,5
Achhame,10,3,9,7,7
GendjahBanten,1,5,7,7,2
WW82290,2,8,4,3,10
VARYLAVA9,7,2,9,10,1
VaryVato275,9,7,4,2,5
BengalyMorino120,8,4,3,9,1
Jayanthi,2,3,3,10,8
Mushkan,5,5,6,2,5
Akabona,9,1,3,9,6
Aus8,6,1,1,8,10
Ngoba,8,3,3,2,6
IR64A,8,2,6,9,4
Dudhel,9,6,10,5,9
BesudiLongGrain,8,5,1,7,9
Qumanani,7,3,8,4,4
P807,6,2,7,2,8
P1041,1,2,6,9,4
P1049,1,4,7,7,2
Azerbaidjanica,9,1,8,10,2
WAB450IBP23HB,6,5,8,6,10
Pokkali,4,6,7,2,6
Simpor,1,2,5,7,4
PutihMontor,9,2,2,6,9
Pakkali,8,7,4,6,9
Kirak,6,10,8,5,7
Latisail,7,2,5,10,1
PadiKasalle,6,7,8,1,2
CHAHORA144,4,3,1,10,8
